date,basis,basis_z,signal,gross_return,transaction_cost,funding_cost,net_return,equity_curve
2023-01-01,-0.00038823790140973813,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-02,-0.00041213155078345665,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-03,-0.00047867009807767147,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-04,-0.0004903174280226352,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-05,-0.0004783743682583719,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-06,-0.00040419597269014673,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-07,-0.00041735451565472204,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-08,-0.00018276022289143157,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-09,-0.000498428446826793,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-10,-0.0006802514554191674,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-11,-0.00042141690349417615,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-12,-0.00045748107054421894,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-13,-0.0002915626751178735,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-14,0.0003759746519040874,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-15,0.0005364729904346888,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-16,0.0001250768457250473,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-17,-0.00018501996115283248,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-18,0.00012234790973231213,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-19,-0.0001561465873169965,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-20,-0.000269588697968004,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-21,-7.242329443712947e-05,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-22,-0.00014445368346649445,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-23,-0.00014619388608316797,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-24,-0.000242596767582981,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-25,-1.4743653398596734e-05,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-26,-0.0003368719407745857,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-27,-0.0002670009395586703,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-28,-0.00029106074469531507,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-29,-8.424138531459846e-05,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-30,-0.0002738462600397895,,0.0,0.0,0.0,0.0,0.0,1.0
2023-01-31,-0.00024781309397425844,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-01,-0.00011208811317331424,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-02,0.00017708894764467686,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-03,-0.0003073206360113545,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-04,-0.00018178138951618905,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-05,-0.00016178932927957135,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-06,-0.0002117740212153052,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-07,-0.0002736981281667994,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-08,-0.0003092408597158425,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-09,-0.0001353529214789262,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-10,-0.00030478364875108355,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-11,-0.0005147110240049102,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-12,-0.0005712365129539876,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-13,-0.00035691179352248525,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-14,-0.0005605214618302767,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-15,0.0003514422011381413,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-16,0.00037751635502303316,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-17,0.00046916196856372494,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-18,0.0002009383217451699,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-19,-0.0002414619917185945,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-20,0.00030990841850631057,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-21,-0.0003583147465224812,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-22,-0.0004512599058532629,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-23,-0.00047629991082054346,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-24,-0.00041802476790842036,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-25,-0.0004695132849015238,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-26,-0.0004055188839480195,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-27,-0.0005147737844737321,,0.0,0.0,0.0,0.0,0.0,1.0
2023-02-28,-0.0005173848107578038,,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-01,-0.00038815825745786015,,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-02,-0.0003503655644401249,-0.44374489195784034,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-03,-0.0005163641457333057,-1.037057685260937,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-04,-0.0004865464630352534,-0.9199066255444419,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-05,-0.00048339296418475897,-0.9078943319602405,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-06,-0.0005758016187797921,-1.2356437959994195,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-07,-0.0004893538599120006,-0.9183243579839306,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-08,-0.0004626638645284231,-0.816300259160671,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-09,-0.0006838527507131431,-1.585398985700107,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-10,-0.0005157480732211894,-0.9490662694489435,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-11,-0.0004121944080601736,-0.592718177024523,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-12,-0.0004960972797967145,-0.9103490124576799,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-13,0.0002496217331486861,1.6840775067690055,0.0,0.0,0.0,0.0,0.0,1.0
2023-03-14,0.000489940724541782,2.433069743512909,1.0,0.0,5.6e-05,0.0,-5.6e-05,0.999944
2023-03-15,9.634851488726781e-05,0.9998382160356137,1.0,7.87184419309033e-06,0.0,3.968253968253968e-06,3.903590224836362e-06,0.9999479033716239
2023-03-16,-0.0003352725561196479,-0.39812887816291825,0.0,8.632421420138323e-06,5.6e-05,3.968253968253968e-06,-5.133583254811564e-05,0.9998965702134995
2023-03-17,-0.0004063591427296842,-0.6201741310066228,0.0,0.0,0.0,0.0,0.0,0.9998965702134995
